0.008 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.006 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.008 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.005 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.645 (+/-0.010) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.632 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.621 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.612 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.602 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.593 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.567 (+/-0.014) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.562 (+/-0.004) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.561 (+/-0.002) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.809 (+/-0.001) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.823 (+/-0.001) for {'class_weight': None, 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
